event_logo_link;https://eu-previewenginepublic.nimbuspop.com/image/BACKSTAGE/24311000000650154?cli-msg=eyJtb2R1bGUiOiJFdmVudEltYWdlUmVzb3VyY2UiLCJ0eXBlIjowLCJwb3J0YWxJZCI6IjIwMTAxNTQ5MjIyIiwic3ViUmVzb3VyY2VJZCI6IjIwMTAxNTQ5MjIyIiwiaWQiOiIyNDMxMTAwMDAwMDY1MDE1NCIsInRrIjoiYjBlYjA3ZmUxMWM0NWEwN2M0ODA3NDgzNGIwZmNiODZiZDljMzYyM2FmMWQwYjFjZjMxODY5MmE5MzcwMzUxNWI0YTMwMWZjMDc2ZWUzODkxYTc1ZDgwZWI0YjBmYzM0NGJjNWUyOWU0OTgyN2IyMGQ4NzdhMjUyZjdkYjhhYWIifQ==;https://eu-previewenginepublic.nimbuspop.com/image/BACKSTAGE/24311000000469289?cli-msg=eyJtb2R1bGUiOiJFdmVudEltYWdlUmVzb3VyY2UiLCJ0eXBlIjowLCJwb3J0YWxJZCI6IjIwMTAxNTQ5MjIyIiwic3ViUmVzb3VyY2VJZCI6IjIwMTAxNTQ5MjIyIiwiaWQiOiIyNDMxMTAwMDAwMDQ2OTI4OSIsInRrIjoiZDUzM2UxN2U1MDQ0MzA1NzQ1ZGNiMTA5ZThlYjM1NGUyYzdhZmM0YjE1N2YzOTdiYjdlYzQ0Y2E5ODU1OTllZjY1YjFhZWZlMGM1NTA1NjEzODhmYjRkODkyNTNmMWUyYWY5MGMzMTBkNGY5ODJiNmUwNzQ2MTcwNGYwODM3NTcifQ==;;
event_logo_link_white;;https://eu-previewenginepublic.nimbuspop.com/image/BACKSTAGE/24311000000469289?cli-msg=eyJtb2R1bGUiOiJFdmVudEltYWdlUmVzb3VyY2UiLCJ0eXBlIjowLCJwb3J0YWxJZCI6IjIwMTAxNTQ5MjIyIiwic3ViUmVzb3VyY2VJZCI6IjIwMTAxNTQ5MjIyIiwiaWQiOiIyNDMxMTAwMDAwMDQ2OTI4OSIsInRrIjoiZDUzM2UxN2U1MDQ0MzA1NzQ1ZGNiMTA5ZThlYjM1NGUyYzdhZmM0YjE1N2YzOTdiYjdlYzQ0Y2E5ODU1OTllZjY1YjFhZWZlMGM1NTA1NjEzODhmYjRkODkyNTNmMWUyYWY5MGMzMTBkNGY5ODJiNmUwNzQ2MTcwNGYwODM3NTcifQ==;;
event_logo_link_color;https://eu-previewenginepublic.nimbuspop.com/image/BACKSTAGE/24311000000650154?cli-msg=eyJtb2R1bGUiOiJFdmVudEltYWdlUmVzb3VyY2UiLCJ0eXBlIjowLCJwb3J0YWxJZCI6IjIwMTAxNTQ5MjIyIiwic3ViUmVzb3VyY2VJZCI6IjIwMTAxNTQ5MjIyIiwiaWQiOiIyNDMxMTAwMDAwMDY1MDE1NCIsInRrIjoiYjBlYjA3ZmUxMWM0NWEwN2M0ODA3NDgzNGIwZmNiODZiZDljMzYyM2FmMWQwYjFjZjMxODY5MmE5MzcwMzUxNWI0YTMwMWZjMDc2ZWUzODkxYTc1ZDgwZWI0YjBmYzM0NGJjNWUyOWU0OTgyN2IyMGQ4NzdhMjUyZjdkYjhhYWIifQ==;;;
event_picture_1_link;https://eu-previewenginepublic.nimbuspop.com/image/BACKSTAGE/24311000000650627?cli-msg=eyJtb2R1bGUiOiJFdmVudEltYWdlUmVzb3VyY2UiLCJ0eXBlIjowLCJwb3J0YWxJZCI6IjIwMTAxNTQ5MjIyIiwic3ViUmVzb3VyY2VJZCI6IjIwMTAxNTQ5MjIyIiwiaWQiOiIyNDMxMTAwMDAwMDY1MDYyNyIsInRrIjoiYjBlYjA3ZmUxMWM0NWEwN2M0ODA3NDgzNGIwZmNiODZiZDljMzYyM2FmMWQwYjFjZjMxODY5MmE5MzcwMzUxNWI0YTMwMWZjMDc2ZWUzODkxYTc1ZDgwZWI0YjBmYzM0NGJjNWUyOWU0OTgyN2IyMGQ4NzdhMjUyZjdkYjhhYWIifQ==;https://eu-previewenginepublic.nimbuspop.com/image/BACKSTAGE/24311000000564127?cli-msg=eyJtb2R1bGUiOiJFdmVudEltYWdlUmVzb3VyY2UiLCJ0eXBlIjowLCJwb3J0YWxJZCI6IjIwMTAxNTQ5MjIyIiwic3ViUmVzb3VyY2VJZCI6IjIwMTAxNTQ5MjIyIiwiaWQiOiIyNDMxMTAwMDAwMDU2NDEyNyIsInRrIjoiZDUzM2UxN2U1MDQ0MzA1NzQ1ZGNiMTA5ZThlYjM1NGUyYzdhZmM0YjE1N2YzOTdiYjdlYzQ0Y2E5ODU1OTllZjY1YjFhZWZlMGM1NTA1NjEzODhmYjRkODkyNTNmMWUyYWY5MGMzMTBkNGY5ODJiNmUwNzQ2MTcwNGYwODM3NTcifQ==;;
event_mail_link_top_banner;https://previewengine-accl.zohopublic.eu/image/BACKSTAGE/24311000000674188?cli-msg=eyJpZCI6IjI0MzExMDAwMDAwNjc0MTg4IiwibW9kdWxlIjoiRXZlbnRJbWFnZVJlc291cmNlIiwic3ViUmVzb3VyY2VJZCI6MjAxMDE1NDkyMjIsInR5cGUiOiIwIiwicG9ydGFsSWQiOiIyMDEwMTU0OTIyMiJ9;https://previewengine-accl.zohopublic.eu/image/BACKSTAGE/24311000000692309?cli-msg=eyJpZCI6IjI0MzExMDAwMDAwNjkyMzA5IiwibW9kdWxlIjoiRXZlbnRJbWFnZVJlc291cmNlIiwic3ViUmVzb3VyY2VJZCI6MjAxMDE1NDkyMjIsInR5cGUiOiIwIiwicG9ydGFsSWQiOiIyMDEwMTU0OTIyMiJ9;;
event_mail_link_bottom_banner;;;;
url_event;https://medideskedu.zohobackstage.eu/DentalPracticeAcademy#/;https://medideskedu.zohobackstage.eu/AMOZConnectWarszawa#/;;
url_success;https://medideskedu.zohobackstage.eu/DentalPracticeAcademy#/success?lang=pl;https://medideskedu.zohobackstage.eu/AMOZConnectWarszawa#/success?lang=pl;;
url_cancel;https://medideskedu.zohobackstage.eu/DentalPracticeAcademy#/cancel?lang=pl;https://medideskedu.zohobackstage.eu/AMOZConnectWarszawa#/cancel?lang=pl;;
event_config_link;https://backstage.zoho.eu/home#/portal/20101549222/brand/24311000000002010/event/24311000000651079/overview;https://backstage.zoho.eu/home#/portal/20101549222/brand/24311000000002010/event/24311000000687006/overview;;
event_orders_link;https://backstage.zoho.eu/home#/portal/20101549222/brand/24311000000002010/event/24311000000651079/registrations/order-details;https://backstage.zoho.eu/home#/portal/20101549222/brand/24311000000002010/event/24311000000687006/registrations/order-details;;
event_attendees_link;https://backstage.zoho.eu/home#/portal/20101549222/brand/24311000000002010/event/24311000000651079/registrations/detail/attendees;https://backstage.zoho.eu/home#/portal/20101549222/brand/24311000000002010/event/24311000000687006/registrations/detail/attendees;;
