Etykieta Pola (UI),Nazwa API,Typ Danych,Pole Niestandardowe,Wymagane,Tylko Odczyt,Typ Danych (Polski),Możliwe Wartości,Powiązany Moduł,Maks. Długość,Sekcja,Wartość Domyślna
Czas modyfikacji,Modified_Time,datetime,,,,Data i czas,,,,,
Czas ostatniej aktywności,Last_Activity_Time,datetime,,,,Data i czas,,,,,
DKF_ID,Name,autonumber,,,,Autonumer,,,,,
Dane kontaktowe firmy Właściciel,Owner,ownerlookup,,,,Właściciel,,,,,
Data Processing Basis Details,Data_Processing_Basis_Details,consent_lookup,,,,consent_lookup,,,,,
Locked,Locked__s,boolean,,,✓,Checkbox (Boolean),,,,,
Obraz Dane kontaktowe firmy,Record_Image,profileimage,,,,profileimage,,,,,
Podstawa przetwarzania danych,Data_Processing_Basis,picklist,,,✓,Lista wyboru,Nie dotyczy (Not Applicable); Słuszny interes (Legitimate Interests); Umowa (Contract); Zobowiązanie prawne (Legal Obligation); Istotny interes (Vital Interests); Interes publiczny (Public Interests); Zgoda — w toku (Pending); Zgoda – oczekiwanie (Awaiting); Zgoda — uzyskano (Obtained); Zgoda — bez odpowiedzi (Not Responded),,,,
Tryb anulowania subskrypcji,Unsubscribed_Mode,picklist,,,✓,Lista wyboru,Formularz zgody (Consent form); Ręcznie (Manual); Łącze anulowania subskrypcji (Unsubscribe link); Zoho Campaigns (Zoho campaigns),,,,
Utworzone przez,Created_By,ownerlookup,,,,Właściciel,,,,,
Zmodyfikowany przez,Modified_By,ownerlookup,,,,Właściciel,,,,,
Znacznik,Tag,text,,,,Tekst,,,2000,,
Zrezygnuj z otrzymania emaila,Email_Opt_Out,boolean,,,,Checkbox (Boolean),,,,,
Źródło danych,Data_Source,picklist,,,✓,Lista wyboru,Aktualizacja zbiorcza (Mass Update); Analizator poczty (Mail Parser); API; Bigin; Constant Contact; Deduplikacja (DeDuplicate); Formularz portalu (Portal Form); Formularz sieci Web (Webform); Funkcja niestandardowa (Custom Function); Google Ads (Google Adwords); Importuj (Import); Interfejs API Phonebridge (Phonebridge API); Kiosk; Mailchimp; Makro (Macro); Media społecznościowe (Social); Microsoft Outlook; Migracja (Migration); Office 365 (Microsoft); Pakiet Zoho Finance (Zoho Finance Suite); Piaskownica (Sandbox); Plan (Blueprint); Portale (Portals); Połączony przepływ pracy (Connected Workflow); Proces zatwierdzania (ApprovalProcess); Przekaz zbiorczy (Mass Transfer); Przepływ pracy (Workflow); Przepływ pracy wiadomości e-mail (Email workflow); Przewidywanie (Prediction); Przykładowe dane (Sample Data); Rezerwacja w kalendarzu (Calendar Booking); Ręczne dodawanie grupowe (Manual Mass Add); Ręcznie (Manual); Ręcznie (urządzenia przenośne) (Manual (Mobile)); SalesInbox; Scalanie ręczne (Find And Merge); Synchronizacja kalendarza Google (Google); Sztuczna inteligencja do prowadzenia konwersacji (Zia Voice) (Zia Voice); UDW Dropbox (BCC Dropbox); Wiadomości biznesowe (Business Messaging); Widok Zoho Sheet (Zoho Sheet View); Wygenerowane przez system (System Generated); Zbiorczy interfejs API (Bulk Write); Zmień właściciela (Change Owner); Zoho Backstage; Zoho Campaigns (Zoho Campaign); Zoho CRM; Zoho Desk; Zoho Docs; Zoho Forms; Zoho Mail; Zoho Recruit; Zoho SalesIQ (SalesIQ); Zoho Survey; Zoho Webinar,,,,
