Etykieta Pola (UI),Nazwa API,Typ Danych,Pole Niestandardowe,Wymagane,Tylko Odczyt,Typ Danych (Polski),Możliwe Wartości,Powiązany Moduł,Maks. Długość,Sekcja,Wartość Domyślna
Strona internetowa medidesk,Strona_internetowa_medidesk,picklist,✓,,,Lista wyboru,-None-; Umów spotkanie; Medidesk EDU audyty (Medidesk edu); Medidesk EDU kontakt; Medidesk EDU szkolenia; Medidesk EDU Audyt obsługi pacjenta; Medidesk Kontakt PL (Medidesk); Medidesk Kontakt EN; FB; LinkedIn; Audyt Tajemniczego Pacjenta 202503; Audyt Marketingowy 202503; techniczny; Program partnerski Marek; EBook Trudny Pacjent; Medidesk agresja w placówkach medycznych; Meddiesk 3.0; Integracja z Medfile; SMS Campaign; Email biuro,,,,
TAsy - RODO - wyrażona niezgoda,Odmowa_RODO_telefon_asystenta,boolean,✓,,,Checkbox (Boolean),,,,,
TICK,TICK,boolean,✓,,,Checkbox (Boolean),,,,,
TKom1 - odsubskrybuj,Odmowa_RODO_telefon_komorkowy_1,boolean,✓,,,Checkbox (Boolean),,,,,
TKom2 - odsubskrybuj,Odmowa_RODO_telefon_komorkowy_2,boolean,✓,,,Checkbox (Boolean),,,,,
TKom3 - odsubskrybuj,Odmowa_RODO_telefon_komorkowy_3,boolean,✓,,,Checkbox (Boolean),,,,,
TStac1 - odsubskrybuj,Odmowa_RODO_telefon_stacjonarny_1,boolean,✓,,,Checkbox (Boolean),,,,,
TStac2 - odsubskrybuj,Odmowa_RODO_telefon_stacjonarny_2,boolean,✓,,,Checkbox (Boolean),,,,,
TStac3 - odsubskrybuj,Odmowa_RODO_telefon_stacjonarny_3,boolean,✓,,,Checkbox (Boolean),,,,,
Telefon komórkowy 3,Telefon_komorkowy_3,phone,✓,,,Telefon,,,,,
Telefon stacjonarny 3,Telefon_stacjonarny_3,phone,✓,,,Telefon,,,,,
TikTok,TikTok,website,✓,,,URL,,,,,
USER company id,USER_company_id,text,✓,,,Tekst,,,255,,
USER user id,USER_user_id,text,✓,,,Tekst,,,255,,
USER_People_ID,USER_People_ID,text,✓,,,Tekst,,,255,,
USER_key,key,text,✓,,,Tekst,,,255,,
Umówił się na spotkanie,Umowil_sie_na_spotkanie,boolean,✓,,,Checkbox (Boolean),,,,,
Umówił się na spotkanie Data,Umowil_sie_na_spotkanie_data,date,✓,,,Data,,,,,
Webinary,Webinar,picklist,✓,,,Lista wyboru,-None-; Webinary medidesk; Webinary zewnętrzne,,,,
Webinary medidesk,Webinar_medidesk,picklist,✓,,,Lista wyboru,"-None-; 20250219 - AI w służbie zdrowia (data nazwa wydarzenia); 20250319 - Jak; 20250319 - Jak rozwijać placówkę; 20250409 - Webinar Marafiki; 20250514 - Webinar Marafiki; 20250604 - Pozycjonowanie i social media; 20250612 - Chirurgiczny lejek online (20250611 - Chirurgiczny lejek online); 20250625 - Komunikacja z pokoleniem Z; 20250708 - Komunikacja z wymagającym pacjentem; 20250710 - Medidesk 3.0 (20250626 - Medidesk 3.0); 202508 - AI w medycynie; 20250812 - PE3.0 (202508 - PE3.0); 20250828 - Projektowanie i realizacja placówek medycznych (20250827 - Projektowanie i realizacja placówek medycznych); 20250910 - FunduszeWsparcia (20250910 - AI w medycynie); 20250916 - Resilia Cyberbezpieczeństwo (250916 - Resilia Cyberbezpieczeństwo); 20251030 - AI w branży medycznej - agenty, nowości; 20251127 - Sztuczna inteligencja i bezpieczeństwo danych w medycynie; NO NO NO 20250218 - AI w służbie zdrowia (TEST 20250218 - AI w służbie zdrowia)",,,,
Webinary zewnętrzne,Webinar_zewnetrzne,picklist,✓,,,Lista wyboru,-None-; 20250410 Krakdent (data nazwa wydarzenia); 202510 Dolmed; 202510 Comarch,,,,
X,X,website,✓,,,URL,,,,,
Zapisał się na TTP,Zapisal_sie_na_TTP,boolean,✓,,,Checkbox (Boolean),,,,,
Zapisał się na TTP Data,Zapisal_sie_na_TTP_data,date,✓,,,Data,,,,,
Związany z grupą,Zwiazany_z_grupa,lookup,✓,,,Lookup,,GRUPY,,,
Zwrot_grzecznosciowy_Pana_Pani,Zwrot_grzecznosciowy_Pana_Pani,formula,✓,,✓,Formuła,,,,,
Zwrot_grzecznosciowy_Pana_Pania,Zwrot_grzecznosciowy_Pana_Pania,formula,✓,,✓,Formuła,,,,,
Zwrot_grzecznosciowy_Panie_Pani,Zwrot_grzecznosciowy_Panie_Pani,formula,✓,,✓,Formuła,,,,,
Zwrot_grzecznosciowy_szanowny_na,Zwrot_grzecznosciowy_szanowny_na,formula,✓,,✓,Formuła,,,,,
kontrolka,kontrolka,boolean,✓,,,Checkbox (Boolean),,,,,
mlid,mlid,multiselectlookup,✓,,,multiselectlookup,,,,,
utm_campaign,utm_campaign,text,✓,,,Tekst,,,255,,
utm_medium,utm_medium,text,✓,,,Tekst,,,255,,
utm_source,utm_source,text,✓,,,Tekst,,,255,,
wew. tel. stac.1,wew_tel_stac_1,text,✓,,,Tekst,,,255,,
wew. tel. stac.2,wew_tel_stac_2,text,✓,,,Tekst,,,255,,
wew. tel. stac.3,wew_tel_stac_3,text,✓,,,Tekst,,,255,,
znacznik_web,znacznik_web,boolean,✓,,,Checkbox (Boolean),,,,,
Źródło Kontaktu inbound,Zrodlo_inbound,picklist,✓,,,Lista wyboru,-None-; Email na biuro; Telefon na biuro; Telefon na infolinie; Polecenie; Szkolenie; Webinar; Konferencja; LinkedIn; Facebook; Strona internetowa medidesk; Zoho Bookings,,,,
Źródło Kontaktu outbound,Zrodlo_outbound,picklist,✓,,,Lista wyboru,-None-; Akwizycja telefoniczna; Reinkarnacja; LinkedIn (LinkedIn outbound); Facebook (FB); Facebook po pobraniu; Akwizycja telefoniczna po konferencji; Akwizycja telefoniczna po webinarze,,,,
Asystent,Assistant,text,,,,Tekst,,,50,,
Change Log Time,Change_Log_Time__s,datetime,,,✓,Data i czas,,,,,
Czas anulowania subskrypcji,Unsubscribed_Time,datetime,,,✓,Data i czas,,,,,
Czas modyfikacji,Modified_Time,datetime,,,,Data i czas,,,,,
Czas ostatniego wzbogacenia,Last_Enriched_Time__s,datetime,,,✓,Data i czas,,,,,
Czas ostatniej aktywności,Last_Activity_Time,datetime,,,,Data i czas,,,,,
Czas utworzenia,Created_Time,datetime,,,,Data i czas,,,,,
Data Processing Basis Details,Data_Processing_Basis_Details,consent_lookup,,,,consent_lookup,,,,,
Departament,Department,text,,,,Tekst,,,50,,
Dni wizyt,Days_Visited,integer,,,,Liczba całkowita,,,,,
Email 1,Email,email,,,,Email,,,,,
Email 2,Secondary_Email,email,,,,Email,,,,,
Imię,First_Name,text,,,,Tekst,,,40,,
Imię i Nazwisko,Full_Name,text,,,,Tekst,,,120,,
Liczba odwiedzających,Visitor_Score,bigint,,,,Liczba (duża),,,,,
Liczba rozmów,Number_Of_Chats,integer,,,,Liczba całkowita,,,,,
Locked,Locked__s,boolean,,,✓,Checkbox (Boolean),,,,,
Miejsce odwołania,Referrer,website,,,,URL,,,,,
Nazwa firmy,Account_Name,lookup,,,,Lookup,,Accounts,,,
Nazwisko,Last_Name,text,,,,Tekst,,,80,,
Obraz Kontakt,Record_Image,profileimage,,,,profileimage,,,,,
Odsubkrybowanie zgody handlowej,Email_Opt_Out,boolean,,,,Checkbox (Boolean),,,,,
Opiekun kontaktu,Owner,ownerlookup,,,,Właściciel,,,,,
Opis,Description,textarea,,,,Tekst wielowierszowy,,,32000,,
Ostatnia wizyta,Last_Visited_Time,datetime,,,,Data i czas,,,,,
Pierwsza odwiedzona strona,First_Visited_URL,website,,,,URL,,,,,
Pierwsza wizyta,First_Visited_Time,datetime,,,,Data i czas,,,,,
Podlega,Reporting_To,lookup,,,,Lookup,,Contacts,,,
Podstawa przetwarzania danych,Data_Processing_Basis,picklist,,,✓,Lista wyboru,Nie dotyczy (Not Applicable); Słuszny interes (Legitimate Interests); Umowa (Contract); Zobowiązanie prawne (Legal Obligation); Istotny interes (Vital Interests); Interes publiczny (Public Interests); Zgoda — w toku (Pending); Zgoda – oczekiwanie (Awaiting); Zgoda — uzyskano (Obtained); Zgoda — bez odpowiedzi (Not Responded),,,,
Stan wzbogacenia,Enrich_Status__s,picklist,,,✓,Lista wyboru,Dostępne (Available); Dane wzbogacone (Enriched); Dane nieodnalezione (Data not found),,,,
Telefon Asystenta,Asst_Phone,phone,,,,Telefon,,,,,
Telefon komórkowy 1,Home_Phone,phone,,,,Telefon,,,,,
Telefon komórkowy 2,Mobile,phone,,,,Telefon,,,,,
Telefon stacjonarny 1,Phone,phone,,,,Telefon,,,,,
Telefon stacjonarny 2,Other_Phone,phone,,,,Telefon,,,,,
Tryb anulowania subskrypcji,Unsubscribed_Mode,picklist,,,✓,Lista wyboru,Formularz zgody (Consent form); Ręcznie (Manual); Łącze anulowania subskrypcji (Unsubscribe link); Zoho Campaigns (Zoho campaigns),,,,
Twitter,Twitter,text,,,,Tekst,,,50,,
Tytuł,Title,text,,,,Tekst,,,100,,
Utworzone przez,Created_By,ownerlookup,,,,Właściciel,,,,,
Zmodyfikowany przez,Modified_By,ownerlookup,,,,Właściciel,,,,,
Znacznik,Tag,text,,,,Tekst,,,2000,,
Zwrot grzecznościowy,Salutation,picklist,,,,Lista wyboru,-None-; Pan (Mr.); Pani (Ms.),,,,
Średni czas (min),Average_Time_Spent_Minutes,double,,,,double,,,,,
Źródło danych,Data_Source,picklist,,,✓,Lista wyboru,Aktualizacja zbiorcza (Mass Update); Analizator poczty (Mail Parser); API; Bigin; Constant Contact; Deduplikacja (DeDuplicate); Formularz portalu (Portal Form); Formularz sieci Web (Webform); Funkcja niestandardowa (Custom Function); Google Ads (Google Adwords); Importuj (Import); Interfejs API Phonebridge (Phonebridge API); Kiosk; Mailchimp; Makro (Macro); Media społecznościowe (Social); Microsoft Outlook; Migracja (Migration); Office 365 (Microsoft); Pakiet Zoho Finance (Zoho Finance Suite); Piaskownica (Sandbox); Plan (Blueprint); Portale (Portals); Połączony przepływ pracy (Connected Workflow); Proces zatwierdzania (ApprovalProcess); Przekaz zbiorczy (Mass Transfer); Przekonwertowano (Converted); Przepływ pracy (Workflow); Przepływ pracy wiadomości e-mail (Email workflow); Przewidywanie (Prediction); Przykładowe dane (Sample Data); Rezerwacja w kalendarzu (Calendar Booking); Ręczne dodawanie grupowe (Manual Mass Add); Ręcznie (Manual); Ręcznie (urządzenia przenośne) (Manual (Mobile)); SalesInbox; Scalanie ręczne (Find And Merge); Synchronizacja kontaktów Google (Google); Sztuczna inteligencja do prowadzenia konwersacji (Zia Voice) (Zia Voice); UDW Dropbox (BCC Dropbox); Wiadomości biznesowe (Business Messaging); Widok Zoho Sheet (Zoho Sheet View); Wygenerowane przez system (System Generated); Zbiorczy interfejs API (Bulk Write); Zmień właściciela (Change Owner); Zoho Backstage; Zoho Campaigns (Zoho Campaign); Zoho CRM; Zoho Desk; Zoho Docs; Zoho Forms; Zoho Mail; Zoho Recruit; Zoho SalesIQ (SalesIQ); Zoho Survey; Zoho Webinar,,,,
