Etykieta Pola (UI),Nazwa API,Typ Danych,Pole Niestandardowe,Wymagane,Tylko Odczyt,Typ Danych (Polski),Możliwe Wartości,Powiązany Moduł,Maks. Długość,Sekcja,Wartość Domyślna
Outbound_Inbound,Outbound_Inbound,picklist,✓,,,Lista wyboru,-None-; Inbound (Social Media); Outbound; Facebook; Twitter,,,,
Polecenie,Polecenie,picklist,✓,,,Lista wyboru,-None-; Firma polecająca (Zewnętrzne); Pracownik medidesk (Pracownik medidesk/Wewnętrzne); Partner polecający (Partner),,,,
Polecenie_firma,Polecenie_firma,lookup,✓,,,Lookup,,Accounts,,,
Polecenie_partner,Polecenie_partner,lookup,✓,,,Lookup,,Accounts,,,
Polecenie_pracownik,Polecenie_pracownik,userlookup,✓,,,Użytkownik,,,,,
Reply-to Address,Native__Campaigns__Extn__Reply_to_Address,picklist,✓,,,Lista wyboru,-None-; dummy1; dummy2,,,,
Sender Address,Native__Campaigns__Extn__Sender_Address,picklist,✓,,,Lista wyboru,-None-; dummy1; dummy2,,,,
Sender Name,Native__Campaigns__Extn__Sender_Name,text,✓,,,Tekst,,,255,,
Strona_internetowa_medidesk,Strona_internetowa_medidesk,picklist,✓,,,Lista wyboru,-None-; Umów spotkanie; Medidesk EDU audyty (Medidesk edu); Medidesk EDU kontakt; Medidesk EDU szkolenia; Medidesk EDU Audyt obsługi pacjenta; Medidesk Kontakt PL (Medidesk); Medidesk Kontakt EN; FB; LinkedIn; Audyt Tajemniczego Pacjenta 202503; Audyt Marketingowy 202503; techniczny; Program partnerski Marek; EBook Trudny Pacjent; Medidesk agresja w placówkach medycznych; Meddiesk 3.0; Integracja z Medfile; SMS Campaign; Email biuro,,,,
Survey,Native__Survey__Extn__Survey,text,✓,,,Tekst,,,255,,
Survey Department,Native__Survey__Extn__Survey_Department,text,✓,,,Tekst,,,255,,
Survey Type,Native__Survey__Extn__Survey_Type,picklist,✓,,,Lista wyboru,-None-; Associate Existing Survey; New Survey,,,,
Survey URL,Native__Survey__Extn__Survey_URL,website,✓,,✓,URL,,,,,
Webinar,Webinar,picklist,✓,,,Lista wyboru,-None-; Webinary medidesk (Webinar medidesk); Webinary zewnętrzne (Webinar zewnętrzny),,,,
Webinar Duration,Native__Webinar__Extn__Webinar_Duration,picklist,✓,,,Lista wyboru,-None-; 30 mins (1800000); 1 hour (3600000); 1:30 hours (5400000); 2 hours (7200000); 2:30 hours (9000000); 3 hours (10800000),,,,
Webinar Launch URL,Native__Webinar__Extn__Webinar_Launch_URL,website,✓,,✓,URL,,,,,
Webinar Registration URL,Native__Webinar__Extn__Webinar_Registration_URL,website,✓,,✓,URL,,,,,
Webinar Schedule,Native__Webinar__Extn__Webinar_Schedule,datetime,✓,,,Data i czas,,,,,
Webinar_medidesk,Webinar_medidesk,picklist,✓,,,Lista wyboru,"-None-; 20250219 - AI w służbie zdrowia (data nazwa wydarzenia); 20250319 - Jak; 20250319 - Jak rozwijać placówkę; 20250409 - Webinar Marafiki; 20250514 - Webinar Marafiki; 20250604 - Pozycjonowanie i social media; 20250612 - Chirurgiczny lejek online (20250611 - Chirurgiczny lejek online); 20250625 - Komunikacja z pokoleniem Z; 20250708 - Komunikacja z wymagającym pacjentem; 20250710 - Medidesk 3.0 (20250626 - Medidesk 3.0); 202508 - AI w medycynie; 20250812 - PE3.0 (202508 - PE3.0); 20250828 - Projektowanie i realizacja placówek medycznych (20250827 - Projektowanie i realizacja placówek medycznych); 20250910 - FunduszeWsparcia (20250910 - AI w medycynie); 20250916 - Resilia Cyberbezpieczeństwo (250916 - Resilia Cyberbezpieczeństwo); 20251030 - AI w branży medycznej - agenty, nowości; 20251127 - Sztuczna inteligencja i bezpieczeństwo danych w medycynie; NO NO NO 20250218 - AI w służbie zdrowia (TEST 20250218 - AI w służbie zdrowia)",,,,
Webinar_zewnetrzny,Webinar_zewnetrzny,picklist,✓,,,Lista wyboru,-None-; data nazwa wydarzenia,,,,
Zgoda handlowa,Zgoda_handlowa,boolean,✓,,,Checkbox (Boolean),,,,,
Zgoda handlowa tresc,Zgoda_handlowa_tresc,textarea,✓,,,Tekst wielowierszowy,,,2000,,
Zgoda marketingowa,Zgoda_marketingowa,boolean,✓,,,Checkbox (Boolean),,,,,
Zgoda marketingowa tresc,Zgoda_marketingowa_tresc,textarea,✓,,,Tekst wielowierszowy,,,2000,,
Zgoda partnership,Zgoda_partnership,boolean,✓,,,Checkbox (Boolean),,,,,
Zgoda partnership tresc,Zgoda_partnership_tresc,textarea,✓,,,Tekst wielowierszowy,,,2000,,
Zgoda polityka prywatnosci,Zgoda_polityka_prywatnosci,boolean,✓,,,Checkbox (Boolean),,,,,
Zgoda polityka prywatnosci tresc,Zgoda_polityka_prywatnosci_tresc,textarea,✓,,,Tekst wielowierszowy,,,2000,,
Zrodlo_inbound,Zrodlo_inbound,picklist,✓,,,Lista wyboru,-None-; Email na biuro; Telefon na biuro; Telefon na infolinie; Polecenie; Szkolenie; Webinar; Konferencja; LinkedIn; Facebook; Strona internetowa medidesk; Zoho Bookings,,,,
Zrodlo_outbound,Zrodlo_outbound,picklist,✓,,,Lista wyboru,-None-; Akwizycja telefoniczna; Reinkarnacja; LinkedIn (LinkedIn outbound); Facebook (FB); Facebook po pobraniu; Akwizycja telefoniczna po konferencji; Akwizycja telefoniczna po webinarze,,,,
Czas modyfikacji,Modified_Time,datetime,,,,Data i czas,,,,,
Czas ostatniej aktywności,Last_Activity_Time,datetime,,,,Data i czas,,,,,
Czas utworzenia,Created_Time,datetime,,,,Data i czas,,,,,
Data rozpoczęcia,Start_Date,date,,,,Data,,,,,
Data zakończenia,End_Date,date,,,,Data,,,,,
Dochód Oczekiwany,Expected_Revenue,currency,,,,Waluta,,,,,
Element nadrzędny Kampania,Parent_Campaign,lookup,,,,Lookup,,Campaigns,,,
Kampania Właściciel,Owner,ownerlookup,,,,Właściciel,,,,,
Koszty aktualne,Actual_Cost,currency,,,,Waluta,,,,,
Koszty ujęte w budżecie,Budgeted_Cost,currency,,,,Waluta,,,,,
Kurs wymiany,Exchange_Rate,double,,,✓,double,,,,,
Liczba wysłanych,Num_sent,bigint,,,,Liczba (duża),,,,,
Nazwa kampanii,Campaign_Name,text,,,,Tekst,,,255,,
Oczekiwane Odpowiedzi,Expected_Response,bigint,,,,Liczba (duża),,,,,
Opis,Description,textarea,,,,Tekst wielowierszowy,,,32000,,
Status,Status,picklist,,,,Lista wyboru,-None-; Planowanie (Planning); Aktywny (Active); Nieaktywny (Inactive); Zakończony (Complete),,,,
Typ kampanii,Type,picklist,,,,Lista wyboru,-None-; Konferencja (Conference); Konferencje przez internet (Webinar); Targi (Trade Show); Public Relations; Partnerzy (Partners); Program poleceń (Referral Program); Reklama (Advertisement); Reklamy na banerach (Banner Ads); Reklama bezpośrednia (Direct mail); Zoho Campaigns; Adres Email (Email); Zoho Survey; Telemarketing; Zoho Webinar; Inni (Others); Zoho Backstage; Webinar medidesk,,,,
Układ,Layout,bigint,,,,Liczba (duża),,,,,
Utworzone przez,Created_By,ownerlookup,,,,Właściciel,,,,,
Waluta,Currency,picklist,,,,Lista wyboru,PLN; USD; EUR,,,,
Zmodyfikowany przez,Modified_By,ownerlookup,,,,Właściciel,,,,,
Znacznik,Tag,text,,,,Tekst,,,2000,,
