Etykieta Pola (UI),Nazwa API,Typ Danych,Pole Niestandardowe,Wymagane,Tylko Odczyt,Typ Danych (Polski),Możliwe Wartości,Powiązany Moduł,Maks. Długość,Sekcja,Wartość Domyślna
Stanowisko,Stanowisko,text,✓,,,Tekst,,,255,,
Status biletu,Status_biletu,text,✓,,,Tekst,,,255,,
Szanowna Pani/Szanowny Pan,Szanowna_Pani_Szanowny_Pan,picklist,✓,,,Lista wyboru,-None-; Option 1; Option 2,,,,
Telefon do opiekuna,Telefon_do_opiekuna,phone,✓,,,Telefon,,,,,
Telefon kontaktowy w sprawie testow,Telefon_kontaktowy_w_sprawie_testow,phone,✓,,,Telefon,,,,,
Telefon prelegenta,Telefon_prelegenta,phone,✓,,,Telefon,,,,,
Uczestnik AMOZ X,Uczestnik_AMOZ_X,lookup,✓,,,Lookup,,Contacts,,,
Zwrócono email,Zwr_cono_email,boolean,✓,,,Checkbox (Boolean),,,,,
www,www,website,✓,,,URL,,,,,
Źródło Kontaktu inbound,Zrodlo_Kontaktu_inbound,picklist,✓,,,Lista wyboru,-None-; Email na biuro; Telefon na biuro; Telefon na infolinie; Polecenie; Szkolenie; Webinar; Konferencja; LinkedIn; Facebook; Strona internetowa medidesk; Zoho Bookings,,,,
Źródło uczestnika,Zrodlo,text,✓,,,Tekst,,,255,,
Adres Email,Email,email,,,,Email,,,,,
BILET AMOZ X - nazwa,Name,text,,,,Tekst,,,120,,
BILET AMOZ X Właściciel,Owner,ownerlookup,,,,Właściciel,,,,,
Czas Utworzenia,Created_Time,datetime,,,,Data i czas,,,,,
Czas anulowania subskrypcji,Unsubscribed_Time,datetime,,,✓,Data i czas,,,,,
Czas modyfikacji,Modified_Time,datetime,,,,Data i czas,,,,,
Czas ostatniej aktywności,Last_Activity_Time,datetime,,,,Data i czas,,,,,
Drugi Email,Secondary_Email,email,,,,Email,,,,,
Locked,Locked__s,boolean,,,✓,Checkbox (Boolean),,,,,
Tryb anulowania subskrypcji,Unsubscribed_Mode,picklist,,,✓,Lista wyboru,Formularz zgody (Consent form); Ręcznie (Manual); Łącze anulowania subskrypcji (Unsubscribe link); Zoho Campaigns (Zoho campaigns),,,,
Waluta,Currency,picklist,,,,Lista wyboru,PLN; USD; EUR,,,,
Znacznik,Tag,text,,,,Tekst,,,2000,,
Zrezygnuj z otrzymania emaila,Email_Opt_Out,boolean,,,,Checkbox (Boolean),,,,,
