Etykieta Pola (UI),Nazwa API,Typ Danych,Pole Niestandardowe,Wymagane,Tylko Odczyt,Typ Danych (Polski),Możliwe Wartości,Powiązany Moduł,Maks. Długość,Sekcja,Wartość Domyślna
Kod i nazwa szczególnej formy prawnej,Kod_i_nazwa_szczegolnej_formy_prawnej,text,✓,,,Tekst,,,255,,
Konferencja,Konferencja,picklist,✓,,,Lista wyboru,-None-; Konferencja medidesk; Konferencja zewnętrzna,,,,
Konferencja medidesk,Konferencja_medidesk,picklist,✓,,,Lista wyboru,-None-; 202509 AMOZ X; 202509 AMOZ Xjj (data nazwa wydarzenia),,,,
Konferencja zewnętrzna,Konferencja_zewnetrzna,picklist,✓,,,Lista wyboru,-None-; 20250410 Krakdent (data nazwa wydarzenia); 202510 Dolmed; 202510 Comarch,,,,
Konto_RODZIC_KOM,Konto_RODZIC_KOM,text,✓,,,Tekst,,,255,,
L gabinetów,L_gabinetow,picklist,✓,,,Lista wyboru,-None-; brak informacji; 1-5; 6-10; powyżej 10,,,,
L osób w rejestracji,L_osob_w_rejestracji,picklist,✓,,,Lista wyboru,-None-; brak informacji; 2; 3-5; powyżej 5,,,,
L stanowisk rejestracji,L_stanowisk_rejestracji,picklist,✓,,,Lista wyboru,-None-; brak informacji; 1; 2-3; powyżej 3,,,,
Liczba firm pod rodzicem,Liczba_firm_pod_rodzicem,integer,✓,,,Liczba całkowita,,,,,
LinkedIn,LinkedIn,website,✓,,,URL,,,,,
NIP,Firma_NIP,text,✓,,,Tekst,,,255,,
Nazwa handlowa_szyld,Nazwa_handlowa_szyld,text,✓,,,Tekst,,,255,,
Nazwa z miastem i ulicą,nazwa_unikalna,formula,✓,,✓,Formuła,,,,,
Nazwa zwyczajowa/ułatwić wyszukiwanie,Nazwa_zwyczajowa,text,✓,,,Tekst,,,255,,
Nazwa_rejestrowa_kopia,Nazwa_rejestrowa_kopia,formula,✓,,✓,Formuła,,,,,
Opiekun z RIO,Opiekun_RIO,picklist,✓,,,Lista wyboru,-None-; Aleksandra Dziekańska; Izabela Matysiak; Karolina Kopeć; Karolina Ponikły; Małgorzata Witek; Paulina Domżalska; Nieprzydzielony; Umowa wygasła; Nie dotyczy,,,,
Organ rejestrowy,Organ_rejestrowy1,text,✓,,,Tekst,,,255,,
Organ załozycielski,Organ_zalozycielski,text,✓,,,Tekst,,,255,,
Outbound_Inbound,Outbound_Inbound,picklist,✓,,,Lista wyboru,-None-; Outbound; Inbound,,,,
P rodz. działalności,P_rodzaj_dzialalnosci,boolean,✓,,,Checkbox (Boolean),,,,,
PKD1_kod,PKD1_kod,text,✓,,,Tekst,,,255,,
PKD1_nazwa,PKD1_nazwa,text,✓,,,Tekst,,,255,,
Partner polecajacy,Polecenie_partner,lookup,✓,,,Lookup,,Accounts,,,
Partner source,Partner_source,picklist,✓,,,Lista wyboru,-None-; Agencje reklamowe; Izby/Stowarzyszenia; Klient medidesk; Konferencja; Poszukiwania własne; Producent systemów medycznych (Systemy medyczne); Targi,,,,
Partner source - więcej info,Partner_source_wiecej_info,text,✓,,,Tekst,,,255,,
Pokaz GUS,Pokaz_GUS,boolean,✓,,,Checkbox (Boolean),,,,,
Polecenie,Polecenie,picklist,✓,,,Lista wyboru,-None-; Firma polecająca (Zewnętrzne); Pracownik medidesk (Pracownik medidesk/Wewnętrzne); Partner polecający (Partner),,,,
Pracownik medidesk,Polecenie_pracownik,userlookup,✓,,,Użytkownik,,,,,
Płatnik usług,Platnik_uslug,multiselectpicklist,✓,,,Lista wielokrotnego wyboru,NFZ; Komercyjne; Ubezpieczenie; none,,,,
REGON,Firma_REGON,text,✓,,,Tekst,,,255,,
REGON status NIP,REGON_status_NIP,text,✓,,,Tekst,,,255,,
REGON_Drugie_imie,REGON_Drugie_imie,text,✓,,,Tekst,,,255,,
REGON_Imie,REGON_Imie,text,✓,,,Tekst,,,255,,
REGON_Nazwisko,REGON_Nazwisko,text,✓,,,Tekst,,,255,,
REGON_adres www,REGON_adres_www,website,✓,,,URL,,,,,
REGON_adres_email,REGON_adres_email,text,✓,,,Tekst,,,255,,
REGON_numer_telefonu,REGON_numer_telefonu,phone,✓,,,Telefon,,,,,
REKORD_TEST,REKORD_TEST,boolean,✓,,,Checkbox (Boolean),,,,,
REKORD_do_poprawki,REKORD_do_poprawki,boolean,✓,,,Checkbox (Boolean),,,,,
Rodzaj działalności REGON,rodzaj_dzialalnosci_REGON,text,✓,,,Tekst,,,255,,
Rodzaj rejestru lub ewidencji,Rodzaj_rejestru_lub_ewidencji_text,text,✓,,,Tekst,,,255,,
Siedziba - Budynek,Billing_Building_Number,text,✓,,,Tekst,,,255,,
Siedziba - Gmina,Billing_Gmina,text,✓,,,Tekst,,,255,,
Siedziba - Lokal,Billing_Local_Number,text,✓,,,Tekst,,,255,,
Siedziba - Nazwa ulicy,Billing_Street_Name,text,✓,,,Tekst,,,255,,
Siedziba - Powiat,Billing_Powiat,text,✓,,,Tekst,,,255,,
Specjalizacja,Specjalizacja,multiselectpicklist,✓,,,Lista wielokrotnego wyboru,POZ; Przychodnia Wielospecjalistyczna; Szpital; Poradnia Zdrowia Psychicznego; Rehabilitacja; Stomatologia; Diagnostyka; Medycyna Estetyczna; Diagnostyka Obrazowa; Laboratorium; Weterynaria; Usługi Niemedyczne; none,,,,
Stary_NIP,Stary_NIP,text,✓,,,Tekst,,,255,,
Status NIP,Status_NIP,text,✓,,,Tekst,,,255,,
Status klienta tej lokalizacji,Status_klienta,picklist,✓,,,Lista wyboru,-None-; nie jest/nie był; nie jest/był; jest,,,,
Strona internetowa medidesk,Strona_internetowa_medidesk,picklist,✓,,,Lista wyboru,-None-; Umów spotkanie; Medidesk EDU audyty (Medidesk edu); Medidesk EDU kontakt; Medidesk EDU szkolenia; Medidesk EDU Audyt obsługi pacjenta; Medidesk Kontakt PL (Medidesk); Medidesk Kontakt EN; FB; LinkedIn; Audyt Tajemniczego Pacjenta 202503; Audyt Marketingowy 202503; techniczny; Program partnerski Marek; EBook Trudny Pacjent; Medidesk agresja w placówkach medycznych; Meddiesk 3.0; Integracja z Medfile; SMS Campaign; Email biuro,,,,
System komunikacji z pacjentem,System_komunikacji_z_pacjentem,picklist,✓,,,Lista wyboru,-None-; Wirtualna centralka operatora komórkowego (Opcja 1); Znany Lekarz Phone; Iron Team; Focus Telecom; Thulium; Unimed System; Telefonia VOIP; Opcja 2,,,,
System medyczny EDM,System_medyczny_EDM,picklist,✓,,,Lista wyboru,-None-; - autorski system medyczny -; Alteris; Aurero; Booksy/Aswiss; CGM Clininet; Comarch EDM; Doctor Eleks; Dr Eryk; Dr Widget / DOC PLANNER; e-gabinet; e-recepcja; Eskulap; Estomed; Eurosoft; Felg-dent; Finezjo; Fizjorejestracja; Gabos; Halo24; iGabinet; Infotel; Interclinic; Ka-medica; Kamsoft; Klinika XP (weterynaria); KS Somed; KS-Medis; m-Pendium; Med-Link; MEDchart; meddo; Medfile; Medicus; Mediporta; MEDsoft; Meedy doctors; mMedica; MyDr; Optimed; Pacjent Plus; PL Med; Proassist; Prodentis; Progart; Progmed; Q Klinka; Radpoint; Seldent; Simple Care; Unison; Versum,,,,
Sz. dzienna ilosc polaczen,Sz_dzienna_ilosc_polaczen,integer,✓,,,Liczba całkowita,,,,,
Sz. dzienna liczba pacjentow,Sz_dzienna_liczba_pacjentow,integer,✓,,,Liczba całkowita,,,,,
Sz. miesieczna ilosc polaczen,Sz_miesieczna_ilosc_polaczen,formula,✓,,✓,Formuła,,,,,
Sz. miesieczna liczba pacjentow,Sz_miesieczna_liczba_pacjentow,formula,✓,,✓,Formuła,,,,,
Sz. tygodniowa ilosc polaczen,Sz_tygodniowa_ilosc_polaczen,formula,✓,,✓,Formuła,,,,,
Sz. tygodniowa liczba pacjentow,Sz_tygodniowa_liczba_pacjentow,formula,✓,,✓,Formuła,,,,,
TStac1 - Obszar placówki,Medical_service_phone_1,multiselectpicklist,✓,,,Lista wielokrotnego wyboru,Rejestracja pacjentów; Konsultacje lekarskie; Dyrekcja; Administracja; Zarząd; Wsparcie techniczne; Wyniki badań; Informacja medyczna; Rozliczenia i płatności; Obsługa ubezpieczeń zdrowotnych; Koordynacja badań specjalistycznych; Obsługa skarg i zażaleń; Działania marketingowe,,,,
TStac2 - Obszar placówki,Medical_service_phone_2,multiselectpicklist,✓,,,Lista wielokrotnego wyboru,Rejestracja pacjentów; Konsultacje lekarskie; Dyrekcja; Administracja; Zarząd; Wsparcie techniczne; Wyniki badań; Informacja medyczna; Rozliczenia i płatności; Obsługa ubezpieczeń zdrowotnych; Koordynacja badań specjalistycznych; Obsługa skarg i zażaleń; Działania marketingowe,,,,
TStac3 - Obszar placówki,Medical_service_phone_3,multiselectpicklist,✓,,,Lista wielokrotnego wyboru,Rejestracja pacjentów; Konsultacje lekarskie; Dyrekcja; Administracja; Zarząd; Wsparcie techniczne; Wyniki badań; Informacja medyczna; Rozliczenia i płatności; Obsługa ubezpieczeń zdrowotnych; Koordynacja badań specjalistycznych; Obsługa skarg i zażaleń; Działania marketingowe,,,,
TTP?,TTP,boolean,✓,,,Checkbox (Boolean),,,,,
Tel. stac.1 wew.,Tel_stac_1_wew,text,✓,,,Tekst,,,255,,
Tel. stac.2 wew.,Tel_stac_2_wew,text,✓,,,Tekst,,,255,,
Tel. stac.3 wew.,Tel_stac_3_wew,text,✓,,,Tekst,,,255,,
Telefon komórkowy 1,Mobile_phone_1,phone,✓,,,Telefon,,,,,
Telefon komórkowy 2,Mobile_phone_2,phone,✓,,,Telefon,,,,,
Telefon komórkowy 3,Mobile_phone_3,phone,✓,,,Telefon,,,,,
Telefon stacjonarny 2,Phone_2,phone,✓,,,Telefon,,,,,
Telefon stacjonarny 3,Phone_3,phone,✓,,,Telefon,,,,,
TikTok,TikTok,website,✓,,,URL,,,,,
Tkom1 - Obszar placówki,Medical_service_mobile_phone_1,multiselectpicklist,✓,,,Lista wielokrotnego wyboru,Rejestracja pacjentów; Konsultacje lekarskie; Dyrekcja; Administracja; Zarząd; Wsparcie techniczne; Wyniki badań; Informacja medyczna; Rozliczenia i płatności; Obsługa ubezpieczeń zdrowotnych; Koordynacja badań specjalistycznych; Obsługa skarg i zażaleń; Działania marketingowe,,,,
Tkom2 - Obszar placówki,Medical_service_mobile_phone_2,multiselectpicklist,✓,,,Lista wielokrotnego wyboru,Rejestracja pacjentów; Konsultacje lekarskie; Dyrekcja; Administracja; Zarząd; Wsparcie techniczne; Wyniki badań; Informacja medyczna; Rozliczenia i płatności; Obsługa ubezpieczeń zdrowotnych; Koordynacja badań specjalistycznych; Obsługa skarg i zażaleń; Działania marketingowe,,,,
Tkom3 - Obszar placówki,Medical_service_mobile_phone_3,multiselectpicklist,✓,,,Lista wielokrotnego wyboru,Opcja 2; Rejestracja pacjentów; Konsultacje lekarskie; Dyrekcja; Administracja; Zarząd; Wsparcie techniczne; Wyniki badań; Informacja medyczna; Rozliczenia i płatności; Obsługa ubezpieczeń zdrowotnych; Koordynacja badań specjalistycznych; Obsługa skarg i zażaleń; Działania marketingowe,,,,
USER ID new,USER_ID_new,text,✓,,,Tekst,,,255,,
USER company ID po updacie,USER_company_ID_po_updacie,text,✓,,,Tekst,,,255,,
USER_Company_rekord_ID,USER_Company_rekord_ID,text,✓,,,Tekst,,,255,,
Unit Is Active,Unit_Is_Active,multiselectpicklist,✓,,,Lista wielokrotnego wyboru,aktywny (Option 1); nieaktywny (Option 2),,,,
Wdrażane systemy przez Partnera,Wdrazane_systemy_przez_Partnera,picklist,✓,,,Lista wyboru,-None-; - autorski system medyczny -; Alteris; Aurero; Booksy/Aswiss; CGM Clininet; Comarch EDM; Doctor Eleks; Dr Eryk; Dr Widget / DOC PLANNER; e-gabinet; e-recepcja; Eskulap; Estomed; Eurosoft; Felg-dent; Finezjo; Fizjorejestracja; Gabos; Halo24; iGabinet; Infotel; Interclinic; Ka-medica; Kamsoft; Klinika XP (weterynaria); KS Somed; KS-Medis; m-Pendium; Med-Link; MEDchart; meddo; Medfile; Medicus; Mediporta; MEDsoft; Meedy doctors; mMedica; MyDr; Optimed; Pacjent Plus; PL Med; Proassist; Prodentis; Progart; Progmed; Q Klinka; Radpoint; Seldent; Simple Care; Unison; Versum,,,,
Webinary,Webinar,picklist,✓,,,Lista wyboru,-None-; Webinary medidesk; Webinary zewnętrzne,,,,
Webinary medidesk,Webinar_medidesk,picklist,✓,,,Lista wyboru,"-None-; 20250219 - AI w służbie zdrowia (data nazwa wydarzenia); 20250319 - Jak; 20250319 - Jak rozwijać placówkę; 20250409 - Webinar Marafiki; 20250514 - Webinar Marafiki; 20250604 - Pozycjonowanie i social media; 20250612 - Chirurgiczny lejek online (20250611 - Chirurgiczny lejek online); 20250625 - Komunikacja z pokoleniem Z; 20250708 - Komunikacja z wymagającym pacjentem; 20250710 - Medidesk 3.0 (20250626 - Medidesk 3.0); 202508 - AI w medycynie; 20250812 - PE3.0 (202508 - PE3.0); 20250828 - Projektowanie i realizacja placówek medycznych (20250827 - Projektowanie i realizacja placówek medycznych); 20250910 - FunduszeWsparcia (20250910 - AI w medycynie); 20250916 - Resilia Cyberbezpieczeństwo (250916 - Resilia Cyberbezpieczeństwo); 20251030 - AI w branży medycznej - agenty, nowości; 20251127 - Sztuczna inteligencja i bezpieczeństwo danych w medycynie; NO NO NO 20250218 - AI w służbie zdrowia (TEST 20250218 - AI w służbie zdrowia)",,,,
Webinary zewnętrzne,Webinar_zewnetrzne,picklist,✓,,,Lista wyboru,-None-; data nazwa wydarzenia,,,,
Wielospecjalistyczne,Wielospecjalistyczne,multiselectpicklist,✓,,,Lista wielokrotnego wyboru,chirurgia ogólna; chirurgia plastyczna; gastroenterologia; ginekologia/położnictwo/leczenie niepłodności; kardiologia; laryngologia; okulistyka; ortopedia,,,,
X,X,website,✓,,,URL,,,,,
data zakończenia postępowania upadłościowego,data_zakonczenia_postepowania_upadlosciowego,date,✓,,,Data,,,,,
kontrolka,kontrolka,boolean,✓,,,Checkbox (Boolean),,,,,
moj_id,moj_id,text,✓,,,Tekst,,,255,,
weryfikacja_jakosci,weryfikacja_jakosci,boolean,✓,,,Checkbox (Boolean),,,,,
Źródło firmy inbound,Zrodlo_inbound,picklist,✓,,,Lista wyboru,-None-; Email na biuro; Telefon na biuro; Telefon na infolinie; Polecenie; Szkolenie; Webinar; Konferencja; LinkedIn; Facebook; Strona internetowa medidesk; Zoho Bookings,,,,
Branża,Industry,picklist,,,,Lista wyboru,-None-; Agencje reklamowe; Fundacja/Stowarzyszenie/Spółdzielnia (Fundacja); Kancelaria prawna; Media/Eventy medyczne; Okołomedyczne inne; Sprzedaż sprzętu i jednorazówki medycznej; Szkolenia/Consulting; Edukacja kliniczna (Edukacja medyczna); Usługi finansowe; Wdrożeniowiec systemów medycznych; Inne (Pozostałe); Dystrybutor,,,,
Change Log Time,Change_Log_Time__s,datetime,,,✓,Data i czas,,,,,
Czas modyfikacji,Modified_Time,datetime,,,,Data i czas,,,,,
Czas ostatniego wzbogacenia,Last_Enriched_Time__s,datetime,,,✓,Data i czas,,,,,
Czas ostatniej aktywności,Last_Activity_Time,datetime,,,,Data i czas,,,,,
Czas utworzenia,Created_Time,datetime,,,,Data i czas,,,,,
Filia - Kod pocztowy,Shipping_Code,text,,,,Tekst,,,30,,
Filia - Kraj,Shipping_Country,text,,,,Tekst,,,100,,
Filia - Miejscowość,Shipping_City,text,,,,Tekst,,,100,,
Filia - Ulica,Shipping_Street,text,,,,Tekst,,,250,,
Filia - Województwo,Shipping_State,text,,,,Tekst,,,100,,
Firma - logo,Record_Image,profileimage,,,,profileimage,,,,,
Kategoria konta firmy,Account_Type,picklist,,,,Lista wyboru,-None-; Podmiot leczniczy (Inne); Partner; Konkurencja; Poddostawca; Pozostałe,,,,
Konto rodzic,Parent_Account,lookup,,,,Lookup,,Accounts,,,
Locked,Locked__s,boolean,,,✓,Checkbox (Boolean),,,,,
Nazwa firmy,Account_Name,text,,,,Tekst,,,200,,
Opiekun firmy,Owner,ownerlookup,,,,Właściciel,,,,,
Siedziba - Kod pocztowy,Billing_Code,text,,,,Tekst,,,30,,
Siedziba - Kraj,Billing_Country,text,,,,Tekst,,,100,,
Siedziba - Miejscowość,Billing_City,text,,,,Tekst,,,100,,
Siedziba - Ulica,Billing_Street,text,,,,Tekst,,,250,,
Siedziba - Województwo,Billing_State,text,,,,Tekst,,,100,,
Stan wzbogacenia,Enrich_Status__s,picklist,,,✓,Lista wyboru,Dostępne (Available); Dane wzbogacone (Enriched); Dane nieodnalezione (Data not found),,,,
Strona internetowa,Website,website,,,,URL,,,,,
Telefon stacjonarny 1,Phone,phone,,,,Telefon,,,,,
Typ własności,Ownership,picklist,,,,Lista wyboru,-None-; Prywatny (Private); Partnerstwo PP (Partnership); Publiczny (Public),,,,
Utworzone przez,Created_By,ownerlookup,,,,Właściciel,,,,,
Zmodyfikowany przez,Modified_By,ownerlookup,,,,Właściciel,,,,,
Znacznik,Tag,text,,,,Tekst,,,2000,,
