Etykieta Pola (UI),Nazwa API,Typ Danych,Pole Niestandardowe,Wymagane,Tylko Odczyt,Typ Danych (Polski),Możliwe Wartości,Powiązany Moduł,Maks. Długość,Sekcja,Wartość Domyślna
Siedziba Wojewodztwo,Siedziba_Wojewodztwo,picklist,✓,,,Lista wyboru,-None-; mazowieckie; śląskie; wielkopolskie; małopolskie; dolnośląskie; łódzkie; pomorskie; lubelskie; podkarpackie; kujawsko-pomorskie; zachodniopomorskie; warmińsko-mazurskie; świętokrzyskie; podlaskie; lubuskie; opolskie; Option 1; Option 2,,,,
Specjalizacja,Specjalizacja,multiselectpicklist,✓,,,Lista wielokrotnego wyboru,POZ; Przychodnia Wielospecjalistyczna; Szpital; Weterynaria; Medycyna Estetyczna; Stomatologia; Diagnostyka; Poradnia Zdrowia Psychicznego; Rehabilitacja; Ratownictwo,,,,
Status NIP,Status_NIP,text,✓,,,Tekst,,,255,,
Status REGON,Status_REGON,text,✓,,,Tekst,,,255,,
Szczególna forma prawna,Szczegolna_forma_prawna,text,✓,,,Tekst,,,255,,
Typ własnosci,Typ_wlasnosci,picklist,✓,,,Lista wyboru,-None-; Prywatny; Partnerstwo PP; Publiczny,,,,
Wszystkie kody PKD,Wszystkie_kody_PKD,textarea,✓,,,Tekst wielowierszowy,,,32000,,
Czas Utworzenia,Created_Time,datetime,,,,Data i czas,,,,,
Czas anulowania subskrypcji,Unsubscribed_Time,datetime,,,✓,Data i czas,,,,,
Czas modyfikacji,Modified_Time,datetime,,,,Data i czas,,,,,
Czas ostatniej aktywności,Last_Activity_Time,datetime,,,,Data i czas,,,,,
GUS - numer NIP,Name,text,,,,Tekst,,,120,,
GUS Właściciel,Owner,ownerlookup,,,,Właściciel,,,,,
Locked,Locked__s,boolean,,,✓,Checkbox (Boolean),,,,,
Obraz GUS,Record_Image,profileimage,,,,profileimage,,,,,
Tryb anulowania subskrypcji,Unsubscribed_Mode,picklist,,,✓,Lista wyboru,Formularz zgody (Consent form); Ręcznie (Manual); Łącze anulowania subskrypcji (Unsubscribe link); Zoho Campaigns (Zoho campaigns),,,,
Utworzone przez,Created_By,ownerlookup,,,,Właściciel,,,,,
Znacznik,Tag,text,,,,Tekst,,,2000,,
