Etykieta Pola (UI),Nazwa API,Typ Danych,Pole Niestandardowe,Wymagane,Tylko Odczyt,Typ Danych (Polski),Możliwe Wartości,Powiązany Moduł,Maks. Długość,Sekcja,Wartość Domyślna
Strona internetowa medidesk,Strona_internetowa_medidesk,picklist,✓,,,Lista wyboru,-None-; Umów spotkanie; Medidesk EDU audyty (Medidesk edu); Medidesk EDU kontakt; Medidesk EDU szkolenia; Medidesk EDU Audyt obsługi pacjenta; Medidesk Kontakt PL (Medidesk); Medidesk Kontakt EN; FB; LinkedIn; Audyt Tajemniczego Pacjenta 202503; Audyt Marketingowy 202503; techniczny; Program partnerski Marek; EBook Trudny Pacjent; Medidesk agresja w placówkach medycznych; Meddiesk 3.0; Integracja z Medfile; SMS Campaign; Email biuro,,,,
Szkolenia Medidesk EDU,Zakres_szkolenia,multiselectpicklist,✓,,,Lista wielokrotnego wyboru,"Radzenie sobie ze stresem; Komunikacja z pacjentem; Empatyczna komunikacja (NVC); Konsultacja – nie wiem, co wybrać",,,,
Telefon komórkowy,Telefon_komorkowy,phone,✓,,,Telefon,,,,,
Telefon stacjonarny,Telefon_stacjonarny,phone,✓,,,Telefon,,,,,
Telefon_SMS,Telefon_SMS,boolean,✓,,,Checkbox (Boolean),,,,,
Telefonicznie,Telefon_polaczenie,boolean,✓,,,Checkbox (Boolean),,,,,
Treść polityki prywatności,Zgoda_poliyka_prywatnosci_tresc,textarea,✓,,,Tekst wielowierszowy,,,2000,,
Treść wiadomości z formularza,Tresc_wiadomosci_z_formularza,textarea,✓,,,Tekst wielowierszowy,,,2000,,
Treść zgody handlowej,Zgoda_handlowa_tresc,textarea,✓,,,Tekst wielowierszowy,,,2000,,
Treść zgody innej,Zgoda_inna_tresc,textarea,✓,,,Tekst wielowierszowy,,,32000,,
Treść zgody marketingowej,Zgoda_marketingowa_tresc,textarea,✓,,,Tekst wielowierszowy,,,2000,,
Umówił się na spotkanie,Umowil_sie_na_spotkanie,boolean,✓,,,Checkbox (Boolean),,,,,
Umówił się na spotkanie Data,Umowil_sie_na_spotkanie_data,date,✓,,,Data,,,,,
Webinar,Webinar,picklist,✓,,,Lista wyboru,-None-; Webinar medidesk; Webinar zewnętrzny,,,,
Webinar medidesk,Webinar_medidesk,picklist,✓,,,Lista wyboru,"-None-; 20250219 - AI w służbie zdrowia (data nazwa wydarzenia); 20250319 - Jak; 20250319 - Jak rozwijać placówkę; 20250409 - Webinar Marafiki; 20250514 - Webinar Marafiki; 20250604 - Pozycjonowanie i social media; 20250612 - Chirurgiczny lejek online (20250611 - Chirurgiczny lejek online); 20250625 - Komunikacja z pokoleniem Z; 20250708 - Komunikacja z wymagającym pacjentem; 20250710 - Medidesk 3.0 (20250626 - Medidesk 3.0); 202508 - AI w medycynie; 20250812 - PE3.0 (202508 - PE3.0); 20250828 - Projektowanie i realizacja placówek medycznych (20250827 - Projektowanie i realizacja placówek medycznych); 20250910 - FunduszeWsparcia (20250910 - AI w medycynie); 20250916 - Resilia Cyberbezpieczeństwo (250916 - Resilia Cyberbezpieczeństwo); 20251030 - AI w branży medycznej - agenty, nowości; 20251127 - Sztuczna inteligencja i bezpieczeństwo danych w medycynie; NO NO NO 20250218 - AI w służbie zdrowia (TEST 20250218 - AI w służbie zdrowia)",,,,
Webinar zewnetrzny,Webinar_zewnetrzny,picklist,✓,,,Lista wyboru,-None-; data nazwa wydarzenia,,,,
Wiadomość Email,Wiadomosc_Email,textarea,✓,,,Tekst wielowierszowy,,,32000,,
Zapisał się na TTP,Zapisal_sie_na_TTP,boolean,✓,,,Checkbox (Boolean),,,,,
Zapisał się na TTP Data,Zapisal_sie_na_TTP_data,date,✓,,,Data,,,,,
Zgoda handlowa,Zgoda_handlowa,boolean,✓,,,Checkbox (Boolean),,,,,
Zgoda inna,Zgoda_inna,boolean,✓,,,Checkbox (Boolean),,,,,
Zgoda marektingowa,Zgoda_marketingowa,boolean,✓,,,Checkbox (Boolean),,,,,
Zgoda polityka prywatności,Zgoda_polityka_prywatnosci,boolean,✓,,,Checkbox (Boolean),,,,,
Zrodlo_leada,Lead_Source,picklist,✓,,,Lista wyboru,-None-; Inbound (Social Media); Outbound; Facebook; Twitter,,,,
Zwrot grzecznościowy,Plec,picklist,✓,,,Lista wyboru,-None-; Pan; Pani,,,,
ids_search,ids_search,multiselectlookup,✓,,,multiselectlookup,,,,,
utm_campaign,utm_campaign,text,✓,,,Tekst,,,255,,
utm_medium,utm_medium,text,✓,,,Tekst,,,255,,
utm_source,utm_source,text,✓,,,Tekst,,,255,,
Źródło ML inbound,Zrodlo_inbound,picklist,✓,,,Lista wyboru,-None-; Email na biuro; Telefon na biuro; Telefon na infolinie; Polecenie; Szkolenie; Webinar; Konferencja; LinkedIn; Facebook; Strona internetowa medidesk; Zoho Bookings,,,,
Źródło uzupełnienia formularza,Zrodlo_uzupelnienia_formularza,text,✓,,,Tekst,,,255,,
Adres Email,Email,email,,,,Email,,,,,
Czas Utworzenia,Created_Time,datetime,,,,Data i czas,,,,,
Czas anulowania subskrypcji,Unsubscribed_Time,datetime,,,✓,Data i czas,,,,,
Czas modyfikacji,Modified_Time,datetime,,,,Data i czas,,,,,
Czas ostatniej aktywności,Last_Activity_Time,datetime,,,,Data i czas,,,,,
Data Processing Basis Details,Data_Processing_Basis_Details,consent_lookup,,,,consent_lookup,,,,,
Locked,Locked__s,boolean,,,✓,Checkbox (Boolean),,,,,
Marketing Lead - nazwa,Name,text,,,,Tekst,,,120,,
Marketing Lead Właściciel,Owner,ownerlookup,,,,Właściciel,,,,,
Podstawa przetwarzania danych,Data_Processing_Basis,picklist,,,✓,Lista wyboru,Nie dotyczy (Not Applicable); Słuszny interes (Legitimate Interests); Umowa (Contract); Zobowiązanie prawne (Legal Obligation); Istotny interes (Vital Interests); Interes publiczny (Public Interests); Zgoda — w toku (Pending); Zgoda – oczekiwanie (Awaiting); Zgoda — uzyskano (Obtained); Zgoda — bez odpowiedzi (Not Responded),,,,
Tryb anulowania subskrypcji,Unsubscribed_Mode,picklist,,,✓,Lista wyboru,Formularz zgody (Consent form); Ręcznie (Manual); Łącze anulowania subskrypcji (Unsubscribe link); Zoho Campaigns (Zoho campaigns),,,,
Układ,Layout,bigint,,,,Liczba (duża),,,,,
Utworzone przez,Created_By,ownerlookup,,,,Właściciel,,,,,
Zmodyfikowany przez,Modified_By,ownerlookup,,,,Właściciel,,,,,
Znacznik,Tag,text,,,,Tekst,,,2000,,
Zrezygnuj z otrzymania emaila marketingowego,Email_Opt_Out,boolean,,,,Checkbox (Boolean),,,,,
Źródło danych,Data_Source,picklist,,,✓,Lista wyboru,Aktualizacja zbiorcza (Mass Update); Analizator poczty (Mail Parser); API; Bigin; Constant Contact; Deduplikacja (DeDuplicate); Formularz portalu (Portal Form); Formularz sieci Web (Webform); Funkcja niestandardowa (Custom Function); Google Ads (Google Adwords); Importuj (Import); Interfejs API Phonebridge (Phonebridge API); Kiosk; Mailchimp; Makro (Macro); Media społecznościowe (Social); Microsoft Outlook; Migracja (Migration); Office 365 (Microsoft); Pakiet Zoho Finance (Zoho Finance Suite); Piaskownica (Sandbox); Plan (Blueprint); Portale (Portals); Proces zatwierdzania (ApprovalProcess); Przekaz zbiorczy (Mass Transfer); Przepływ pracy (Workflow); Przepływ pracy wiadomości e-mail (Email workflow); Przewidywanie (Prediction); Przykładowe dane (Sample Data); Rezerwacja w kalendarzu (Calendar Booking); Ręczne dodawanie grupowe (Manual Mass Add); Ręcznie (Manual); Ręcznie (urządzenia przenośne) (Manual (Mobile)); SalesInbox; Scalanie ręczne (Find And Merge); Synchronizacja kalendarza Google (Google); Sztuczna inteligencja do prowadzenia konwersacji (Zia Voice) (Zia Voice); UDW Dropbox (BCC Dropbox); Wiadomości biznesowe (Business Messaging); Widok Zoho Sheet (Zoho Sheet View); Wygenerowane przez system (System Generated); Zbiorczy interfejs API (Bulk Write); Zmień właściciela (Change Owner); Zoho Backstage; Zoho Campaigns (Zoho Campaign); Zoho CRM; Zoho Desk; Zoho Docs; Zoho Forms; Zoho Mail; Zoho Recruit; Zoho SalesIQ (SalesIQ); Zoho Survey; Zoho Webinar; Połączony przepływ pracy (Connected Workflow),,,,
