Etykieta Pola (UI),Nazwa API,Typ Danych,Pole Niestandardowe,Wymagane,Tylko Odczyt,Typ Danych (Polski),Możliwe Wartości,Powiązany Moduł,Maks. Długość,Sekcja,Wartość Domyślna
Pakiet minut stacjonarne_koszt,Pakiet_minut_stacjonarne_koszt,currency,✓,,,Waluta,,,,,
Podlaczenie_SIPtrunka_innego_operatora_cena,Podlaczenie_SIPtrunka_innego_operatora_cena,currency,✓,,,Waluta,,,,,
Podłączenie SIPtrunka innego operatora,Podlaczenie_SIPtrunka_innego_operatora,boolean,✓,,,Checkbox (Boolean),,,,,
Polaczenia wychodzace u operatora Medidesk,Polaczenia_wychodzace_u_operatora_Medidesk,text,✓,,,Tekst,,,255,,
Polaczenia_wychodzace_u_operatora_Medidesk_T_ID,Polaczenia_wychodzace_u_operatora_Medidesk_T_ID,text,✓,,,Tekst,,,255,,
Polska_numery_komorkowe,Polska_numery_komorkowe,currency,✓,,,Waluta,,,,,
Polska_numery_stacjonarne,Polska_numery_stacjonarne,currency,✓,,,Waluta,,,,,
Produkt,Produkt,multiselectpicklist,✓,,,Lista wielokrotnego wyboru,Medidesk; Vetidesk; Szkolenia; Bot; VoIP; Sprzęt; NewFeature; Audyt; Marketing,,,,
Płeć opiekuna,Plec_opiekuna,text,✓,,,Tekst,,,255,,
Rabat % abonament,Rabat_procentowy_abo_miesieczny,integer,✓,,,Liczba całkowita,,,,,
Rabat_procentowy_szkolenie,Rabat_procentowy_szkolenie,double,✓,,,double,,,,,
Rabat_procentowy_wdrozenie,Rabat_procentowy_wdrozenie,double,✓,,,double,,,,,
Rodzaj szkolenia mix,Rodzaj_szkolenia_mix,multiselectpicklist,✓,,,Lista wielokrotnego wyboru,Skuteczna Sprzedaż; Skuteczna Rejestracja; Trudny Pacjent; Warsztat Empatii; Managerskie; Dedykowane; RODO; Zarządzanie Stresem; Przeciwdziałanie Mobbingowi,,,,
SMS_na_polskie_numery,SMS_na_polskie_numery,currency,✓,,,Waluta,,,,,
SMS_na_zagraniczne_numery,SMS_na_zagraniczne_numery,currency,✓,,,Waluta,,,,,
Sprzęt,Podformularz_Sprzet,subform,✓,,,subform,,,,,
Szkolenie_brutto_po_rabacie,Szkolenie_brutto_po_rabacie,currency,✓,,,Waluta,,,,,
Szkolenie_netto_po_rabacie,Szkolenie_netto_po_rabacie,currency,✓,,,Waluta,,,,,
Szkolenie_przed_rabatem,Szkolenie_przed_rabatem,currency,✓,,,Waluta,,,,,
Telefon kontaktu,Telefon_kontaktu,phone,✓,,,Telefon,,,,,
Telefon kontaktu 2,Telefon_kontaktu_2,phone,✓,,,Telefon,,,,,
Telefon kontaktu 3,Telefon_kontaktu_3,phone,✓,,,Telefon,,,,,
Telefon opiekuna,Telefon_opiekuna,phone,✓,,,Telefon,,,,,
Trackowanie połączeń marketingowych dynamiczne,Trackowanie_polaczen_marketingowych_dynamiczne,boolean,✓,,,Checkbox (Boolean),,,,,
Trackowanie_polaczen_marketingowych_cena,Trackowanie_polaczen_marketingowych_cena,currency,✓,,,Waluta,,,,,
Utrzymanie linii SMS,Utrzymanie_linii_SMS,text,✓,,,Tekst,,,255,,
Utrzymanie linii telefonu,Utrzymanie_linii_telefonu,text,✓,,,Tekst,,,255,,
Utrzymanie_linii_SMS_T_ID,Utrzymanie_linii_SMS_T_ID,text,✓,,,Tekst,,,255,,
Utrzymanie_linii_telefonu_T_ID,Utrzymanie_linii_telefonu_T_ID,text,✓,,,Tekst,,,255,,
Utrzymanie_numeru_telefonu_komorkowego_SMSy_za_num,Utrzymanie_numeru_telefonu_komorkowego_SMSy_za_num,currency,✓,,,Waluta,,,,,
Utrzymanie_numeru_telefonu_stacjonarnego_za_numer,Utrzymanie_numeru_telefonu_stacjonarnego_za_numer,currency,✓,,,Waluta,,,,,
VAT abonament,VAT_abonament,integer,✓,,,Liczba całkowita,,,,,
VAT sprzęt,VAT_sprzet,integer,✓,,,Liczba całkowita,,,,,
VAT_szkolenie_total,VAT_szkolenie_total,double,✓,,,double,,,,,
VAT_wdrozenie_total,VAT_wdrozenie_total,double,✓,,,double,,,,,
Warunki specjalne SMS,Warunki_specjalne_SMS,boolean,✓,,,Checkbox (Boolean),,,,,
Warunki specjalne minuty,Warunki_specjalne_minuty,boolean,✓,,,Checkbox (Boolean),,,,,
Warunki specjalne na abonament,Warunki_specjalne_na_abonament,boolean,✓,,,Checkbox (Boolean),,,,,
Warunki specjalne na wdrozenie,Warunki_specjalne_na_wdrozenie,boolean,✓,,,Checkbox (Boolean),,,,,
Warunki specjalne pakiety telco,Warunki_specjalne_pakiety_telco,boolean,✓,,,Checkbox (Boolean),,,,,
Warunki specjalne telco,Warunki_specjalne_telco,boolean,✓,,,Checkbox (Boolean),,,,,
Warunki_specjalne_szkolenie,Warunki_specjalne_szkolenie,boolean,✓,,,Checkbox (Boolean),,,,,
Wdrozenie_brutto_po_rabacie,Wdrozenie_brutto_po_rabacie,currency,✓,,,Waluta,,,,,
Wdrozenie_netto_po_rabacie_,Wdrozenie_netto_po_rabacie,currency,✓,,,Waluta,,,,,
Wdrozenie_przed_rabatem,Wdrozenie_przed_rabatem,currency,✓,,,Waluta,,,,,
Wersja medidesk,Wersja_medidesk,picklist,✓,,,Lista wyboru,-None-; PRO; BASIC,,,,
Wysylka_SMSa_T_ID,Wysylka_SMSa_T_ID,text,✓,,,Tekst,,,255,,
Wysyłka SMS-a,Wysylka_SMSa,text,✓,,,Tekst,,,255,,
Łączna liczba aplikacji medidesk,Laczna_liczba_aplikacji_medidesk,integer,✓,,,Liczba całkowita,,,,,
Łączna liczba placówek,Laczna_liczba_placowek,integer,✓,,,Liczba całkowita,,,,,
Czas modyfikacji,Modified_Time,datetime,,,,Data i czas,,,,,
Czas ostatniej aktywności,Last_Activity_Time,datetime,,,,Data i czas,,,,,
Czas utworzenia,Created_Time,datetime,,,,Data i czas,,,,,
Etap wyceny,Quote_Stage,picklist,,,,Lista wyboru,"Wersja robocza (Draft); Utworzony PDF; Wysłane do Klienta; Potwierdzony (Confirmed); Zamknięty, sukces (Closed Won); Zamknięty, strata (Closed Lost); Dostarczone (Delivered); Negocjacje (Negotiation); Wstrzymany (On Hold)",,,,
Filia - Kod pocztowy,Shipping_Code,text,,,,Tekst,,,30,,
Filia - Kraj,Shipping_Country,text,,,,Tekst,,,100,,
Filia - Miejscowość,Shipping_City,text,,,,Tekst,,,100,,
Filia - Ulica,Shipping_Street,text,,,,Tekst,,,250,,
Filia - Województwo,Shipping_State,text,,,,Tekst,,,100,,
Kurs wymiany,Exchange_Rate,double,,,✓,double,,,,,
Locked,Locked__s,boolean,,,✓,Checkbox (Boolean),,,,,
Nazwa Deala,Deal_Name,lookup,,,,Lookup,,Deals,,,
Nazwa firmy,Account_Name,lookup,,,,Lookup,,Accounts,,,
Nazwa kontaktu,Contact_Name,lookup,,,,Lookup,,Contacts,,,
Opis,Description,textarea,,,,Tekst wielowierszowy,,,32000,,
Siedziba - Kod pocztowy,Billing_Code,text,,,,Tekst,,,30,,
Siedziba - Kraj,Billing_Country,text,,,,Tekst,,,100,,
Siedziba - Miejscowość,Billing_City,text,,,,Tekst,,,100,,
Siedziba - Ulica,Billing_Street,text,,,,Tekst,,,250,,
Siedziba - Województwo,Billing_State,text,,,,Tekst,,,100,,
Temat,Subject,text,,,,Tekst,,,120,,
Utworzone przez,Created_By,ownerlookup,,,,Właściciel,,,,,
Waluta,Currency,picklist,,,,Lista wyboru,PLN; USD; EUR,,,,
Warunki i postanowienia,Terms_and_Conditions,textarea,,,,Tekst wielowierszowy,,,32000,,
Ważne do,Valid_Till,date,,,,Data,,,,,
Wdrożenie,Quoted_Items,subform,,,,subform,,,,,
Zamówienie Właściciel,Owner,ownerlookup,,,,Właściciel,,,,,
Zmodyfikowane przez,Modified_By,ownerlookup,,,,Właściciel,,,,,
Znacznik,Tag,text,,,,Tekst,,,2000,,
