Etykieta Pola (UI),Nazwa API,Typ Danych,Pole Niestandardowe,Wymagane,Tylko Odczyt,Typ Danych (Polski),Możliwe Wartości,Powiązany Moduł,Maks. Długość,Sekcja,Wartość Domyślna
Data przekazania warunków przedmontażowych informa,Data_przekazania_warunkow_przedmontazowych_infor,date,✓,,,Data,,,,,
Data_podpisania_umowy,Data_podpisania_umowy,date,✓,,,Data,,,,,
Data_podpisania_umowy_trial,Data_podpisania_umowy_trial,date,✓,,,Data,,,,,
Deal,Deal,lookup,✓,,,Lookup,,Deals,,,
Departament 1,Departament_1,text,✓,,,Tekst,,,255,,
Departament 2,Departament_2,text,✓,,,Tekst,,,255,,
Departament informatyk,Departament_informatyk,text,✓,,,Tekst,,,255,,
Detale_uslug,Detale_uslug,multiselectpicklist,✓,,,Lista wielokrotnego wyboru,Medidesk; Vetidesk; VoIP + konto managerskie (VOIP + konto managerskie); SMS; Formularz na stronę www; Czat wewnętrzny (personelu); Czat zewnętrzny (z pacjentem),,,,
Do którego Medideska klienta uruchamiamy Teledesk?,Medidesk_pod_Teledesk,text,✓,,,Tekst,,,255,,
Dodatkowe 1 nazwa,Formularz_dodatkowe_1_nazwa,text,✓,,,Tekst,,,255,,
Dodatkowe 1 typ,Dodatkowe_1,picklist,✓,,,Lista wyboru,-None-; pole tekstowe; obszar tekstowy; lista rozwijalna; pole wyboru; telefon; adres email; - nie umieszczamy -,,,,
Dodatkowe 2 nazwa,Formularz_dodatkowe_2_nazwa,text,✓,,,Tekst,,,255,,
Dodatkowe 2 typ,Dodatkowe_2,picklist,✓,,,Lista wyboru,-None-; pole tekstowe; obszar tekstowy; lista rozwijalna; pole wyboru; telefon; adres email; - nie umieszczamy -,,,,
Dodatkowe 3 nazwa,Formularz_dodatkowe_3_nazwa,text,✓,,,Tekst,,,255,,
Dodatkowe 3 typ,Formularz_dodatkowe_3,picklist,✓,,,Lista wyboru,-None-; pole tekstowe; obszar tekstowy; lista rozwijalna; pole wyboru; telefon; adres email; - nie umieszczamy -,,,,
Dodatkowy_zakres_tematyczny_bota,Dodatkowy_zakres_tematyczny_bota,textarea,✓,,,Tekst wielowierszowy,,,2000,,
Email 1,Email_1,email,✓,,,Email,,,,,
Email 2,Email_2,email,✓,,,Email,,,,,
Email informatyk,Email_informatyk,email,✓,,,Email,,,,,
Email_dostepy,Email_dostepy,textarea,✓,,,Tekst wielowierszowy,,,2000,,
Email_raporty,Email_raporty,textarea,✓,,,Tekst wielowierszowy,,,2000,,
Firma_zewnetrzna,Firma_zewnetrzna,text,✓,,,Tekst,,,255,,
Gmina,Gmina,text,✓,,,Tekst,,,255,,
Informacje_dodatkowe,Informacje_dodatkowe,textarea,✓,,,Tekst wielowierszowy,,,2000,,
Informatyk,Informatyk,lookup,✓,,,Lookup,,Contacts,,,
KRS,KRS,text,✓,,,Tekst,,,255,,
Klient_potwierdzil_ze_sam_wdrozy_kod,Klient_potwierdzil_ze_sam_wdrozy_kod,boolean,✓,,,Checkbox (Boolean),,,,,
Kod pocztowy,Kod_pocztowy,text,✓,,,Tekst,,,255,,
Kosztorys,Kosztorys,fileupload,✓,,,fileupload,,,,,
Kosztorys_tick,Kosztorys_tick,boolean,✓,,,Checkbox (Boolean),,,,,
Kraj,Kraj,text,✓,,,Tekst,,,255,,
Który regulamin Teleporad?,Regulamin_teleporad,picklist,✓,,,Lista wyboru,-None-; Draft Medidesk; Klient posiada własny,,,,
Lekarze,Lekarze,subform,✓,,,subform,,,,,
Liczba Medidesków,Liczba_medideskow,integer,✓,,,Liczba całkowita,,,,,
Liczba kont SIP (stanowisk) poza rejestracją,Liczba_SIP_poza_rejestracja,integer,✓,,,Liczba całkowita,,,,,
Liczba kont SIP (stanowisk) w rejestracji,Liczba_SIP_w_rejestracji,integer,✓,,,Liczba całkowita,,,,,
Liczba lokalizacji  (pod iloma adresami),Liczba_lokalizacji,integer,✓,,,Liczba całkowita,,,,,
Liczba użytkowników Medidesk  (rejestr. + manager),Liczba_uzytkownikow,integer,✓,,,Liczba całkowita,,,,,
Liczba zakupionych tur szkoleń,Tury_szkolen,integer,✓,,,Liczba całkowita,,,,,
Liczba_kont_teledesk,Liczba_kont_teledesk,integer,✓,,,Liczba całkowita,,,,,
Link do umow,Link_do_umow,website,✓,,,URL,,,,,
Miejscowosc,Miejscowosc,text,✓,,,Tekst,,,255,,
Model centrali klienta,Model_centrali_klienta,text,✓,,,Tekst,,,255,,
Modele aparatów klienta,Modele_aparatow_klienta,textarea,✓,,,Tekst wielowierszowy,,,2000,,
Modele_aparatow_medidesk,Modele_aparatow_medidesk,multiselectpicklist,✓,,,Lista wielokrotnego wyboru,Yealink T31P; Yealink W73P; Yealink W74P; Słuchawki przewodowe na jedno ucho; Słuchawki przewodowe na dwoje uszu,,,,
NIP,NIP,text,✓,,,Tekst,,,255,,
Nadpis,Nadpis,text,✓,,,Tekst,,,255,,
Nazwa brandowa,Nazwa_brandowa,text,✓,,,Tekst,,,255,,
Nazwa ulicy,Nazwa_ulicy,text,✓,,,Tekst,,,255,,
Nr domu,Nr_domu,text,✓,,,Tekst,,,255,,
Nr lokalu,Nr_lokalu,text,✓,,,Tekst,,,255,,
Operator_uslug,Operator_uslug_main,picklist,✓,,,Lista wyboru,"-None-; z Medidesk; z PoxBox; z Medidesk i z PoxBox; Nie podpisujemy umowy Telco, jest SIP Trunk od Operatora klienta",,,,
Osoba do kontaktu 1,Osoba_do_kontaktu_1,lookup,✓,,,Lookup,,Contacts,,,
Osoba do kontaktu 2,Osoba_do_kontaktu_2,lookup,✓,,,Lookup,,Contacts,,,
Placowka,Placowka,lookup,✓,,,Lookup,,Accounts,,,
Powiat,Powiat,text,✓,,,Tekst,,,255,,
REGON,REGON,text,✓,,,Tekst,,,255,,
Rodzaj_bota,Rodzaj_bota,picklist,✓,,,Lista wyboru,-None-; Ruch wychodzący; Ruch przychodzący,,,,
Rodzaj_rozliczenia,Rodzaj_rozliczenia,picklist,✓,,,Lista wyboru,-None-; Minutowe; Ryczałtowe,,,,
Specjalne warunki klienta objęte umową,Warunki_specjalne,textarea,✓,,,Tekst wielowierszowy,,,2000,,
Stanowisko 1,Stanowisko_1,text,✓,,,Tekst,,,255,,
Stanowisko 2,Stanowisko_2,text,✓,,,Tekst,,,255,,
Stanowisko informatyk,Stanowisko_informatyk,text,✓,,,Tekst,,,255,,
Strona internetowa,Strona_internetowa,website,✓,,,URL,,,,,
System EDM,System_EDM,picklist,✓,,,Lista wyboru,-None-; - autorski system medyczny -; Alteris; Aurero; Booksy/Aswiss; CGM Clininet; Comarch EDM; Doctor Eleks; Dr Eryk; Dr Widget / DOC PLANNER; e-gabinet; e-recepcja; Eskulap; Estomed; Eurosoft; Felg-dent; Finezjo; Fizjorejestracja; Gabos; Halo24; iGabinet; Infotel; Interclinic; Ka-medica; Kamsoft; Klinika XP (weterynaria); KS Somed; KS-Medis; m-Pendium; Med-Link; MEDchart; meddo; Medfile; Medicus; Mediporta; MEDsoft; Meedy doctors; mMedica; MyDr; Optimed; Pacjent Plus; PL Med; Proassist; Prodentis; Progart; Progmed; Q Klinka; Radpoint; Seldent; Simple Care; Unison; Versum,,,,
System komunikacji z pacjentem,System_komunikacji_z_pacjentem,picklist,✓,,,Lista wyboru,-None-; Wirtualna centralka operatora komórkowego (Opcja 1); Znany Lekarz Phone; Iron Team; Focus Telecom; Thulium; Unimed System; Telefonia VOIP; Opcja 2,,,,
TelcoForm,TelcoForm,subform,✓,,,subform,,,,,
Telefon 1,Telefon_1,phone,✓,,,Telefon,,,,,
Telefon 2,Telefon_2,phone,✓,,,Telefon,,,,,
Telefon informatyk,Telefon_informatyk,phone,✓,,,Telefon,,,,,
Telefony_poxbox_sms,Telefony_poxbox_sms,textarea,✓,,,Tekst wielowierszowy,,,2000,,
Typ pola email,Formularz_email,picklist,✓,,,Lista wyboru,-None-; pole tekstowe; obszar tekstowy; lista rozwijalna; pole wyboru; telefon; adres email; - nie umieszczamy - (nie umieszczamy),,,,
Typ pola imię,Formularz_imie,picklist,✓,,,Lista wyboru,-None-; pole tekstowe; obszar tekstowy; lista rozwijalna; pole wyboru; telefon; adres email; - nie umieszczamy - (nie umieszczamy),,,,
Typ pola nazwisko,Formularz_nazwisko,picklist,✓,,,Lista wyboru,-None-; pole tekstowe; obszar tekstowy; lista rozwijalna; pole wyboru; telefon; adres email; - nie umieszczamy - (nie umieszczamy),,,,
Typ pola pytanie,Formularz_pytanie,picklist,✓,,,Lista wyboru,-None-; pole tekstowe; obszar tekstowy; lista rozwijalna; pole wyboru; telefon; adres email; - nie umieszczamy - (nie umieszczamy),,,,
Typ pola telefon,Formularz_telefon,picklist,✓,,,Lista wyboru,-None-; pole tekstowe; obszar tekstowy; lista rozwijalna; pole wyboru; telefon; adres email; - nie umieszczamy - (nie umieszczamy),,,,
Ulica z nr domu_lokalu,Ulica,text,✓,,,Tekst,,,255,,
Umowa_VOIP,Umowa_VOIP,fileupload,✓,,,fileupload,,,,,
Umowa_VOIP_tick,Umowa_VOIP_tick,boolean,✓,,,Checkbox (Boolean),,,,,
Umowa_na_medidesk,Umowa_na_medidesk,fileupload,✓,,,fileupload,,,,,
Umowa_na_medidesk_tick,Umowa_na_medidesk_tick,boolean,✓,,,Checkbox (Boolean),,,,,
Umowa_operatorska,Umowa_operatorska,fileupload,✓,,,fileupload,,,,,
Umowa_operatorska_tick,Umowa_operatorska_tick,boolean,✓,,,Checkbox (Boolean),,,,,
Umowa_trialowa,Umowa_trialowa,boolean,✓,,,Checkbox (Boolean),,,,,
Usluga_do_wdrozenia,Usluga_do_wdrozenia,picklist,✓,,,Lista wyboru,-None-; Medi Veti VoIP 2025; Medyczne Rewolucje; Teledesk; Voicebot; SMS; Formularz; Chat zewnętrzny; Chat wewnętrzny; Zamówienie umowy PoxBox,,,,
Warunki_rozliczenia_abonament,Warunki_rozliczenia_abonament,text,✓,,,Tekst,,,255,,
Warunki_rozliczenia_wdrozenia,Warunki_rozliczenia_wdrozenia,text,✓,,,Tekst,,,255,,
Wojewodztwo,Wojewodztwo,text,✓,,,Tekst,,,255,,
Zakres_tematyczny_bota,Zakres_tematyczny_bota,multiselectpicklist,✓,,,Lista wielokrotnego wyboru,Szczepienia; Potwierdzanie wizyt; Recepty; Inne,,,,
Adres Email,Email,email,,,,Email,,,,,
Czas Utworzenia,Created_Time,datetime,,,,Data i czas,,,,,
Czas anulowania subskrypcji,Unsubscribed_Time,datetime,,,✓,Data i czas,,,,,
Czas modyfikacji,Modified_Time,datetime,,,,Data i czas,,,,,
Czas ostatniej aktywności,Last_Activity_Time,datetime,,,,Data i czas,,,,,
Dane instalacji Właściciel,Owner,ownerlookup,,,,Właściciel,,,,,
Locked,Locked__s,boolean,,,✓,Checkbox (Boolean),,,,,
Nr zestawu danych instalacji,Name,autonumber,,,,Autonumer,,,,,
Obraz Dane instalacji,Record_Image,profileimage,,,,profileimage,,,,,
Tryb anulowania subskrypcji,Unsubscribed_Mode,picklist,,,✓,Lista wyboru,Formularz zgody (Consent form); Ręcznie (Manual); Łącze anulowania subskrypcji (Unsubscribe link); Zoho Campaigns (Zoho campaigns),,,,
Utworzone przez,Created_By,ownerlookup,,,,Właściciel,,,,,
Znacznik,Tag,text,,,,Tekst,,,2000,,
